review_text,rating,date,language,sentiment,confidence,sentiment_clean,predicted_category,category_confidence,category,confidence_band,review_length,label_source,label,label_method
Huawei mobile is not support pick me pls chek,5,2026-07-31 20:35:05,English,Negative,0.9997,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.4674200117588043,Support & Refunds,medium,45,zero-shot-bart-large-mnli,Support & Refunds,keyword_rule
pick me flash receiver location is incorrect and not updating. very poor location tracking,1,2026-07-31 17:34:25,English,Negative,0.9998,NEGATIVE,"privacy, security, data, account safety",0.3785449862480163,Privacy & Security,low,90,zero-shot-bart-large-mnli,App Bugs,keyword_rule
"never add your ATM card to this app, without using pick me there cut money",1,2026-07-30 00:49:46,English,Negative,0.9846,NEGATIVE,"privacy, security, data, account safety",0.7805907130241394,Privacy & Security,high,74,zero-shot-bart-large-mnli,Privacy & Security,auto_high_confidence
after the recent update the app is crashing every time. and each time needs to clear data and cashes or uninstall to use it.,1,2026-07-29 20:47:30,English,Negative,0.9995,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.4720580577850342,App Bugs,medium,124,zero-shot-bart-large-mnli,App Bugs,keyword_rule
"Worst transport service ever. Most of the drivers, including AAU-9178, overcharge customers when they realize they don’t know the route. The app showed 1075/= for me, but the driver charged 1400/=. Unreasonable!!!",1,2026-07-29 16:50:02,English,Negative,0.9998,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.6652050614356995,Driver Behavior & Safety,high,213,zero-shot-bart-large-mnli,Driver Behavior & Safety,auto_high_confidence
"This was one of the worst customer service experiences I've ever had. The staff were rude, unprofessional, and showed little interest in helping customers. My concerns were ignored, communication was poor, and the overall service was disappointing. I would not recommend this business unless they make significant improvements to how they treat their customers. Very disappointing experience.",1,2026-07-29 02:33:28,English,Negative,0.9998,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.5307926535606384,Support & Refunds,medium,392,zero-shot-bart-large-mnli,Support & Refunds,keyword_rule
"very bad customer service, They don't have the responsibility and accountability for what they are doing. They don't have any solutions for customer grievences.",1,2026-07-28 23:59:01,English,Negative,0.9997,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.4333764016628265,Support & Refunds,low,160,zero-shot-bart-large-mnli,Support & Refunds,keyword_rule
"Terrible service, specially when trying to reclaim overcharges and when trying to get food ordered in weekends.",1,2026-07-26 20:12:24,English,Negative,0.9994,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.8952499628067017,Support & Refunds,high,111,zero-shot-bart-large-mnli,Support & Refunds,auto_high_confidence
problem. After I got in a trip.its connects with another drivers,1,2026-07-25 15:10:45,English,Negative,0.9971,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.3500316143035888,Driver Behavior & Safety,low,64,zero-shot-bart-large-mnli,Driver Behavior & Safety,keyword_rule
"I have traveled to the same destination twice for the same price of 300. However, the app recently showed me the same price, but it showed 600 for the driver. This has happened nearly 3 to 4 times now. This pricing system is extremely bad.",1,2026-07-25 13:16:09,English,Negative,0.9997,NEGATIVE,"pricing, surge pricing, bidding, driver offers, high fares, expensive, discounts",0.6553329825401306,Pricing & Bidding,high,239,zero-shot-bart-large-mnli,Pricing & Bidding,auto_high_confidence
"very bad experience and expensive, increase price after booking also, very bad 👎",1,2026-07-24 09:56:19,English,Negative,0.9997,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.2942814230918884,Driver Behavior & Safety,low,80,zero-shot-bart-large-mnli,Pricing & Bidding,keyword_rule
Dissapointing. Takes more than usual time to pickup orders.,1,2026-07-23 21:06:55,English,Negative,0.9996,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.3360981345176697,Driver Behavior & Safety,low,59,zero-shot-bart-large-mnli,Delivery Issues,keyword_rule
very bad service for driver and custemer,1,2026-07-21 08:27:27,English,Negative,0.9998,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.4708037376403808,Driver Behavior & Safety,medium,40,zero-shot-bart-large-mnli,Driver Behavior & Safety,keyword_rule
really easy to use. it really appreciateable if you notify approximate amount including the hire amount. Most of the people confirm the hire with the price showing. sometimes they might don't have extra money. most of the time tuk's number plate different. drivers intentionally driving slowly near signal light to stop on Red 🔴 signal. You guys need to have an option to notify.,4,2026-07-19 08:19:34,English,Negative,0.9829,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.9285353422164916,Driver Behavior & Safety,high,379,zero-shot-bart-large-mnli,Driver Behavior & Safety,auto_high_confidence
driver bad attitude,1,2026-07-18 17:42:54,English,Negative,0.9998,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.795183002948761,Driver Behavior & Safety,high,19,zero-shot-bart-large-mnli,Driver Behavior & Safety,auto_high_confidence
not ux friendly at all and full of bugs,1,2026-07-16 20:23:28,English,Negative,0.9998,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.3479453325271606,Support & Refunds,low,39,zero-shot-bart-large-mnli,App Bugs,keyword_rule
fix your damn map bro,1,2026-07-14 10:24:34,English,Negative,0.9948,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.5110422968864441,Driver Behavior & Safety,medium,21,zero-shot-bart-large-mnli,App Bugs,keyword_rule
Bad customer service from Pick me.,1,2026-07-14 02:39:56,English,Negative,0.9998,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.5807446241378784,Support & Refunds,medium,34,zero-shot-bart-large-mnli,Support & Refunds,keyword_rule
"Initially I was happy about this app and it helped me a lot.But very disappointed after I ordered an item which was wrongly displayed in the app and I had to cancell,but still didn't get the refund which they promised to pay within 24 hours when I contacted the customers care line.",1,2026-07-13 18:43:55,English,Negative,0.9978,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.789359986782074,Support & Refunds,high,282,zero-shot-bart-large-mnli,Support & Refunds,auto_high_confidence
i cant login after entering the otp ..i have tried multiple times,1,2026-07-12 13:02:08,English,Negative,0.9921,NEGATIVE,"privacy, security, data, account safety",0.2854155302047729,Privacy & Security,low,65,zero-shot-bart-large-mnli,App Bugs,keyword_rule
"Drivers are allowed to carry more passengers than the seating cpacity allowes"" which is illeagal. Furthermore, the company must also educate its customers not to exceed the seating capacity.",1,2026-07-12 11:41:28,English,Negative,0.99,NEGATIVE,"pricing, surge pricing, bidding, driver offers, high fares, expensive, discounts",0.272152304649353,Pricing & Bidding,low,190,zero-shot-bart-large-mnli,Driver Behavior & Safety,keyword_rule
at this moment the app is not working properly,1,2026-07-12 09:40:07,English,Negative,0.9998,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.4512216448783874,App Bugs,medium,46,zero-shot-bart-large-mnli,App Bugs,keyword_rule
pick me drive not there,1,2026-07-11 17:43:22,English,Negative,0.9992,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.8254581689834595,Driver Behavior & Safety,high,23,zero-shot-bart-large-mnli,Driver Behavior & Safety,auto_high_confidence
"Absolutely disappointing. I urgently needed to use the PickMe app, but I couldn't even log in. This is one of the most unreliable services I've used. An app that doesn't work when customers need it most is completely unacceptable. Please fix your servers and improve the stability of your app. You're wasting your customers' time.",1,2026-07-06 21:15:53,English,Negative,0.9995,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.6180880665779114,App Bugs,medium,330,zero-shot-bart-large-mnli,App Bugs,keyword_rule
"No riders to pickup the orders ,Too late , Fully Dissapointed",1,2026-07-05 23:29:03,English,Negative,0.9993,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.3338653147220611,Driver Behavior & Safety,low,61,zero-shot-bart-large-mnli,Delivery Issues,keyword_rule
"Worst experience with the PickMe app. I placed an order at 6:00 PM, expecting a timely delivery, but it wasn't delivered until 10:30 PM. That's a delay of more than 4 hours, which is completely unacceptable. I repeatedly explained to the PickMe driver that the order was urgent, but the delivery was still made very late. This is not fair to customers who rely on your service. Very disappointed with this experience. I hope PickMe improves its delivery service and customer support",1,2026-07-04 22:43:09,English,Negative,0.9997,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.3541855812072754,Driver Behavior & Safety,low,482,zero-shot-bart-large-mnli,Delivery Issues,keyword_rule
pickme food not work properly,1,2026-07-03 21:18:53,English,Negative,0.9998,NEGATIVE,"food delivery delays, late orders, missing items, wrong orders, cold food",0.5159074664115906,Delivery Issues,medium,29,zero-shot-bart-large-mnli,Delivery Issues,keyword_rule
location not working,1,2026-07-03 08:08:46,English,Negative,0.9997,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.319728285074234,App Bugs,low,20,zero-shot-bart-large-mnli,App Bugs,keyword_rule
"there are lesser and lesser pickme rides day by day and cant reach the needed destination in time no matter how early we wait, the drivers would come right by the location and cancel, which wastes a load of time even after confirming the ride multiple times, which management looked into this more.. 😔😔",2,2026-07-03 07:16:38,English,Negative,0.9993,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.7971431612968445,Driver Behavior & Safety,high,302,zero-shot-bart-large-mnli,Driver Behavior & Safety,auto_high_confidence
"such a terrible app, always loading and loading.. always couldn't find the location.. please fix mn it",1,2026-07-02 18:04:06,English,Negative,0.9994,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.9224151372909546,App Bugs,high,102,zero-shot-bart-large-mnli,App Bugs,auto_high_confidence
"Always refusing the card payments, drivers attitudes are worst",1,2026-07-01 16:09:21,English,Negative,0.9998,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.9036967158317566,Driver Behavior & Safety,high,62,zero-shot-bart-large-mnli,Driver Behavior & Safety,auto_high_confidence
"If a driver is on a order or ride, don't recommend another ride or delivery, because it delays our time",2,2026-07-01 07:41:26,English,Negative,0.9978,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.4257594645023346,Driver Behavior & Safety,low,103,zero-shot-bart-large-mnli,Delivery Issues,keyword_rule
"I have noticed some drivers and specially riders record us and put the videos on social media platforms like faceboom or tiktok without our consent! Totally violation of privacy... they reveal publically our locations, whom we are with, what we ordered, where we go ect ect! you should do something about this! and other users, be aware about those so-called content creating riders who violate your privacy!",1,2026-06-30 21:07:59,English,Negative,0.9979,NEGATIVE,"privacy, security, data, account safety",0.944619357585907,Privacy & Security,high,408,zero-shot-bart-large-mnli,Privacy & Security,auto_high_confidence
"WORST CUSTOMER SERVICE EVER. IF U EVER HAVE A COMPLAIN, THEY TOOK A LONG TIME TO ANSWER BETTER UBER",1,2026-06-30 14:08:23,English,Negative,0.9998,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.7579084038734436,Support & Refunds,high,99,zero-shot-bart-large-mnli,Support & Refunds,auto_high_confidence
"Absolutely unacceptable. It's been months since the Ne-Yo concert was canceled, and I'm still waiting for my refund. Customer support has been unresponsive, calls are ignored, and there has been no meaningful resolution despite repeated follow-ups. This has been one of the worst customer service experiences I've ever had.This is one of the biggest scamming companies in Sri Lanka. I strongly advise everyone to avoid using them.",1,2026-06-30 13:38:48,English,Negative,0.9998,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.9523414373397828,Support & Refunds,high,430,zero-shot-bart-large-mnli,Support & Refunds,auto_high_confidence
Worst taxi app ever. When we order a taxi in 6.30 a.m to 7.45 a.m any taxi can not find it. 😡😡😡🤬,1,2026-06-30 07:06:12,English,Negative,0.9998,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.581562876701355,App Bugs,medium,96,zero-shot-bart-large-mnli,Delivery Issues,keyword_rule
A long time bug. Can't schedule a ride for future time. ex: now it is 10pm. I want to schedule a ride for tomorrow 6am. i can pick tomorrow but not 6am. but it is possible to pick 11pm like time (after 10pm). This is a bug.,4,2026-06-29 22:18:01,English,Negative,0.9986,NEGATIVE,"privacy, security, data, account safety",0.2752542495727539,Privacy & Security,low,223,zero-shot-bart-large-mnli,App Bugs,keyword_rule
"drivers behave badly, asking cash when we book for someone else",3,2026-06-28 17:28:34,English,Negative,0.9997,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.9007481932640076,Driver Behavior & Safety,high,63,zero-shot-bart-large-mnli,Driver Behavior & Safety,auto_high_confidence
careless driving. over charged,1,2026-06-26 16:18:58,English,Negative,0.9994,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.8714680075645447,Driver Behavior & Safety,high,30,zero-shot-bart-large-mnli,Driver Behavior & Safety,auto_high_confidence
"Drivers call you and interview you, if you don't pass the interview they will cancel.",1,2026-06-26 13:27:18,English,Negative,0.9945,NEGATIVE,"pricing, surge pricing, bidding, driver offers, high fares, expensive, discounts",0.207519456744194,Pricing & Bidding,low,85,zero-shot-bart-large-mnli,Driver Behavior & Safety,keyword_rule
irritating location issues plz make it correct I just waste my time 1hr,1,2026-06-23 16:38:42,English,Negative,0.9998,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.4422909021377563,Support & Refunds,low,71,zero-shot-bart-large-mnli,App Bugs,keyword_rule
I'm giving it 5 stars and also I would suggest you to add up a timing system like a 20 min thing in which if the restaurant or the driver after picking it up failed to make it up on time the customer gets an off of some amount just like the (Hunger station) in Saudi Arabia I know it's a lot to ask but giving an option like that would make many people to buy and also the restaurant and the driver will have a priority to deliver the food within time.,5,2026-06-22 01:05:08,English,Negative,0.9932,NEGATIVE,"food delivery delays, late orders, missing items, wrong orders, cold food",0.3820249140262604,Delivery Issues,low,452,zero-shot-bart-large-mnli,Delivery Issues,keyword_rule
"the vehicle he came is defferent to the the number in the app,he asked for a OTP when the trip was finish.this was the first time i experienced.it didnt appear on the phone however he took my phone and got the number.",1,2026-06-18 17:22:44,English,Negative,0.9878,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.6433787941932678,Driver Behavior & Safety,medium,217,zero-shot-bart-large-mnli,App Bugs,keyword_rule
"Very disappointing experience with PickMe Food. My bakery order's ETA changed 3 times and stayed on ""Food ready, waiting for pickup"" for nearly an hour. I wanted to cancel, but there was no option in the app. The bakery couldn't cancel, PickMe support couldn't cancel, and even the rider couldn't cancel. I had to delay checking out of my hotel and wait for the food. The rider was fast once assigned, but the food arrived cold. Also, where is the option to review PickMe's service itself? Uber Eats",1,2026-06-18 14:04:51,English,Negative,0.9994,NEGATIVE,"food delivery delays, late orders, missing items, wrong orders, cold food",0.9003139734268188,Delivery Issues,high,499,zero-shot-bart-large-mnli,Delivery Issues,auto_high_confidence
"Last week had a bad experience. App has showed me and driver different paths, so it costed double fee. Pickme refused to refund. Always before start the trip check path and charges with driver.",1,2026-06-18 09:27:20,English,Negative,0.9989,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.7273801565170288,Support & Refunds,high,193,zero-shot-bart-large-mnli,Support & Refunds,auto_high_confidence
I know this isn't because of the app some of the drivers misuse the bid and some accepting trip and few minutes they cancel it or accept it and cancel it at the same time which is annoying.,2,2026-06-18 08:45:33,English,Negative,0.9995,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.8125486373901367,Driver Behavior & Safety,high,189,zero-shot-bart-large-mnli,Driver Behavior & Safety,auto_high_confidence
location is scrambled. it shows that don't exist,1,2026-06-17 08:02:47,English,Negative,0.9996,NEGATIVE,"privacy, security, data, account safety",0.3645509481430053,Privacy & Security,low,48,zero-shot-bart-large-mnli,App Bugs,keyword_rule
very poor customer service in pickme.when we call to customer care they every time lying.the giving fake details to us.they only focusing commission from us.. please don't recommend for anyone..,1,2026-06-16 23:36:59,English,Negative,0.9997,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.6329526901245117,Support & Refunds,medium,194,zero-shot-bart-large-mnli,Support & Refunds,keyword_rule
not working error message sorry! we could not verify your number (First installed ),1,2026-06-16 14:51:00,English,Negative,0.9981,NEGATIVE,"privacy, security, data, account safety",0.3546371161937713,Privacy & Security,low,83,zero-shot-bart-large-mnli,App Bugs,keyword_rule
New app update doesn't work on some mobiles...!,1,2026-06-13 20:57:06,English,Negative,0.9996,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.4714145362377167,App Bugs,medium,47,zero-shot-bart-large-mnli,App Bugs,keyword_rule
"This is one of the most annoying apps for booking rides. The ride get cancelld many times, or the price go higer than regular taxi ride and the booking takes so much time. Rides are very costly and the location get messed up often too. Neither fast service , nor accurate locating or nor rides on convenience price.",1,2026-06-13 12:40:26,English,Negative,0.9998,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.4481521844863891,App Bugs,low,315,zero-shot-bart-large-mnli,Pricing & Bidding,keyword_rule
why pick me not active tell me please,5,2026-06-09 06:13:33,English,Negative,0.9996,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.7526462078094482,Driver Behavior & Safety,high,37,zero-shot-bart-large-mnli,Driver Behavior & Safety,auto_high_confidence
The WORST food delivery service ever!. Gives a fake estimated delivery time and keeps prolonging it. Very disappointed.,1,2026-06-04 19:56:47,English,Negative,0.9998,NEGATIVE,"food delivery delays, late orders, missing items, wrong orders, cold food",0.6814159750938416,Delivery Issues,high,119,zero-shot-bart-large-mnli,Delivery Issues,auto_high_confidence
worst app I have ever used the the estimated time is just a scam it increased 1 and half hour,1,2026-06-04 19:55:58,English,Negative,0.9998,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.404390811920166,Support & Refunds,low,93,zero-shot-bart-large-mnli,Privacy & Security,keyword_rule
bad app waiting chagers and trip end over riding not add well.so drivers charge over,1,2026-06-04 12:33:15,English,Negative,0.9959,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.7274393439292908,Driver Behavior & Safety,high,84,zero-shot-bart-large-mnli,Driver Behavior & Safety,auto_high_confidence
driver robbed me and shot everyone in the vehicle I declare this MURDER(driver no plate:ABW 8473,1,2026-06-03 14:26:15,English,Negative,0.999,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.8490623831748962,Driver Behavior & Safety,high,96,zero-shot-bart-large-mnli,Driver Behavior & Safety,auto_high_confidence
My account got reset all of a sudden. All my added details are all gone. Very disappointed. Need a fix ASAP,1,2026-06-02 23:47:16,English,Negative,0.9998,NEGATIVE,"privacy, security, data, account safety",0.814755916595459,Privacy & Security,high,107,zero-shot-bart-large-mnli,Privacy & Security,auto_high_confidence
gives automated discounts. when appealed after the trip. they ask for screenshots. bad service.,1,2026-05-31 16:26:25,English,Negative,0.9996,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.4283942580223083,Support & Refunds,low,95,zero-shot-bart-large-mnli,Pricing & Bidding,keyword_rule
"PickMe is not as fast as before. I don't think anyone should order food through PickMe anymore. I placed an order and it's been more than an hour, but it still hasn't arrived. The restaurant is located in Mount Lavinia, and the delivery address is Hill Street. Does it really take over an hour for such a delivery? I'm very disappointed with the service.",1,2026-05-30 18:22:57,English,Negative,0.9996,NEGATIVE,"food delivery delays, late orders, missing items, wrong orders, cold food",0.7677192687988281,Delivery Issues,high,354,zero-shot-bart-large-mnli,Delivery Issues,auto_high_confidence
disappointing customer service,1,2026-05-30 12:31:46,English,Negative,0.9998,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.6145793795585632,Support & Refunds,medium,30,zero-shot-bart-large-mnli,Support & Refunds,keyword_rule
"I would like to request an app where only the ride, event, rental, delivery and truck function are available. The food and market options are too distracting and its very much unfair for the user.",1,2026-05-30 04:59:54,English,Negative,0.9997,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.2436745464801788,Driver Behavior & Safety,low,196,zero-shot-bart-large-mnli,Delivery Issues,keyword_rule
Not good app to much fault this app error error,1,2026-05-29 06:42:48,English,Negative,0.9997,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.5998448729515076,App Bugs,medium,47,zero-shot-bart-large-mnli,App Bugs,keyword_rule
"after the new update i cannot log in to my account anymore in my vivo Y93,i was stuck in the middle of the night without being able to book a ride i had to walk 5kms get home,app asks for tge mobile number to register and it says,device is not verified,i have been using this app for years but really dissapointed because of only focusing on high end devices when updating the app,not everybody uses new expensive mobile phones",1,2026-05-29 01:17:26,English,Negative,0.9993,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.5919122695922852,App Bugs,medium,427,zero-shot-bart-large-mnli,App Bugs,keyword_rule
"Interest in using this app is decreasing. It would be much better to conduct a face-to-face interview before selecting drivers, or at least allow only people within a suitable age limit to join. Many drivers still do not know how to navigate properly, even when guides are provided. Dealing with such situations becomes a difficult struggle for users, and this negatively affects the overall experience and interest in the app.Please consider allowing only drivers who have at least basic knowledge.",1,2026-05-28 17:53:23,English,Negative,0.9997,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.3512278795242309,Driver Behavior & Safety,low,499,zero-shot-bart-large-mnli,Driver Behavior & Safety,keyword_rule
"The rides feature is fine but the food delivery feature is terrible. One time I had to wait 1 hour just for a driver to be assigned. Another time, I waited for an hour for a driver to be assigned and then the app cancelled my order.",2,2026-05-28 12:47:06,English,Negative,0.9994,NEGATIVE,"food delivery delays, late orders, missing items, wrong orders, cold food",0.8296008110046387,Delivery Issues,high,232,zero-shot-bart-large-mnli,Delivery Issues,auto_high_confidence
"Pickme food service system is terribly designed to not be responsible about its own service. I order dinner and hours go by with no driver, food gets cold, we cant cancel the order, and the customer care never answers. This is not a one time experience.",1,2026-05-24 21:57:55,English,Negative,0.9995,NEGATIVE,"food delivery delays, late orders, missing items, wrong orders, cold food",0.7877764701843262,Delivery Issues,high,253,zero-shot-bart-large-mnli,Delivery Issues,auto_high_confidence
bad app poor customer care😡,1,2026-05-22 19:10:21,English,Negative,0.9998,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.716828465461731,Support & Refunds,high,27,zero-shot-bart-large-mnli,Support & Refunds,auto_high_confidence
Very bad delivery service and the communication was poor never ordering again. please have a cancellation option.,1,2026-05-22 15:30:44,English,Negative,0.9998,NEGATIVE,"food delivery delays, late orders, missing items, wrong orders, cold food",0.4171513020992279,Delivery Issues,low,113,zero-shot-bart-large-mnli,Delivery Issues,keyword_rule
orders getting soooooo delay,2,2026-05-21 18:55:06,English,Negative,0.9953,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.4425475001335144,Driver Behavior & Safety,low,28,zero-shot-bart-large-mnli,Delivery Issues,keyword_rule
worst app. always bugs,1,2026-05-21 12:43:34,English,Negative,0.9998,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.5647474527359009,App Bugs,medium,22,zero-shot-bart-large-mnli,App Bugs,keyword_rule
over charge now 2026/05/19,1,2026-05-19 19:39:59,English,Negative,0.8618,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.3696294128894806,Driver Behavior & Safety,low,26,zero-shot-bart-large-mnli,Pricing & Bidding,keyword_rule
"I've been a user for a long time the issue I have is, it seems like y'all only save the history of rides and activity on the local storage. Cuz I recently changed my phone and It's like a fresh app now. only my personal details are there. No History or anything at all.🤦🏻",4,2026-05-18 23:04:19,English,Negative,0.9993,NEGATIVE,"privacy, security, data, account safety",0.8572107553482056,Privacy & Security,high,271,zero-shot-bart-large-mnli,Privacy & Security,auto_high_confidence
